one,two,three,four,five,six,seven,eight,cls
87,78,98,71,94,100,89,64,0
83,77,101,66,88,91,82,58,0
76,75,98,65,90,94,88,55,0
87,78,100,70,97,94,89,73,0
82,80,105,69,94,99,95,69,0
86,85,103,71,95,98,95,67,0
86,83,111,72,94,100,93,70,0
88,81,111,71,93,102,95,68,0
90,82,113,68,92,97,93,65,0
86,78,113,71,101,99,92,59,0
86,75,110,72,90,100,91,63,0
81,75,110,70,86,93,88,58,0
85,79,112,70,92,93,90,67,0
84,78,119,69,94,101,88,68,0
87,82,116,72,94,98,94,67,0
90,85,112,74,94,99,95,68,0
88,85,116,73,93,100,97,68,0
85,72,113,71,92,97,84,52,0
86,77,116,72,93,99,95,66,0
84,76,114,78,96,97,87,57,0
73,69,113,78,88,92,87,61,0
77,71,113,71,89,105,89,70,0
93,78,114,72,92,98,94,67,0
92,77,116,74,93,98,94,68,0
88,79,117,76,103,92,87,52,0
90,81,117,90,117,96,82,45,0
75,77,116,86,113,97,94,53,0
80,77,121,79,116,96,88,45,0
72,75,114,84,92,91,88,52,0
80,88,114,86,96,98,96,60,0
86,91,116,88,98,98,94,69,0
79,91,117,87,96,99,96,70,0
81,94,118,85,99,99,97,69,0
78,90,122,77,97,94,93,65,0
80,93,115,84,100,98,90,63,0
84,93,118,82,97,97,93,61,0
74,90,116,75,95,92,83,57,0
75,84,116,75,94,93,88,63,0
82,93,119,80,95,96,98,69,0
82,89,119,78,95,97,97,67,0
84,88,120,84,97,96,96,66,0
85,79,120,85,116,99,94,66,0
88,79,119,88,118,100,94,60,0
70,81,120,82,116,92,97,65,0
84,76,118,87,114,96,89,63,0
75,73,113,86,111,91,86,58,0
78,77,113,86,114,96,87,56,0
78,75,118,87,109,94,91,70,0
85,77,117,85,115,97,92,67,0
82,79,120,84,117,100,92,68,0
86,79,119,87,117,98,91,65,0
85,81,113,85,114,98,95,65,0
78,75,119,83,97,99,87,64,0
72,74,113,82,90,93,85,51,0
68,82,113,83,92,92,92,67,0
81,96,119,83,107,98,96,68,0
87,94,115,86,98,98,95,67,0
86,93,117,85,97,96,90,53,0
86,95,121,89,103,96,93,70,0
88,94,122,88,98,100,91,65,0
114,46,136,76,92,113,68,41,0
111,46,172,74,84,109,65,36,0
103,37,141,75,83,123,66,35,0
88,41,126,72,86,124,65,42,0
109,45,136,80,92,120,68,43,0
106,47,131,79,73,110,71,52,0
101,49,129,79,99,127,72,49,0
114,49,141,84,101,119,72,49,0
114,50,148,82,90,112,72,51,0
113,49,143,73,102,126,73,50,0
117,50,179,84,98,123,75,53,0
117,53,164,83,75,124,71,56,0
119,51,170,85,70,122,68,51,0
123,49,173,96,72,136,75,50,0
112,51,173,94,74,119,69,51,0
108,48,174,95,74,123,69,45,0
113,46,170,94,76,125,59,37,0
92,46,173,97,70,115,63,34,0
99,44,169,90,74,115,63,40,0
105,54,173,97,72,115,76,49,0
111,50,175,96,72,122,70,51,0
116,49,174,96,73,121,69,48,0
114,49,173,93,87,124,71,48,0
118,51,174,92,89,122,68,54,0
123,54,171,95,88,122,64,52,0
109,47,166,94,89,124,73,49,0
115,49,170,95,88,122,68,45,0
113,47,168,91,87,120,65,44,0
99,44,163,86,87,115,60,32,0
103,42,165,83,89,115,64,39,0
112,51,172,88,86,121,70,49,0
116,50,170,94,91,123,68,50,0
118,51,172,92,101,123,71,52,0
119,55,174,93,100,122,71,43,0
114,46,173,81,98,124,61,49,0
110,49,169,90,99,121,54,42,0
100,38,164,85,94,118,49,37,0
115,50,166,87,99,125,54,50,0
112,49,171,77,98,125,57,50,0
116,50,144,77,106,131,50,44,0
106,44,167,81,98,126,54,52,0
107,47,159,76,98,127,57,42,0
97,38,158,77,92,121,53,42,0
114,41,167,75,101,122,58,50,0
112,50,167,76,100,124,58,50,0
117,53,168,79,103,125,62,48,0
105,50,182,73,91,123,57,50,0
112,49,179,76,91,120,44,40,0
99,45,165,78,73,118,54,48,0
117,50,179,79,81,122,59,50,0
113,52,178,81,80,122,60,51,0
118,52,171,80,90,119,55,47,0
113,46,167,77,91,121,57,46,0
96,39,171,72,93,119,53,37,0
100,44,169,75,92,120,71,48,0
113,51,174,81,92,121,69,51,0
114,52,161,78,98,119,71,55,0
115,50,143,79,97,112,68,46,0
110,51,141,79,99,119,63,26,0
99,42,140,76,87,109,54,37,0
72,67,78,102,136,99,65,56,1
73,66,80,100,136,95,71,54,1
74,68,82,99,136,96,72,57,1
68,65,82,106,136,98,72,57,1
67,64,82,86,135,96,65,58,1
84,70,81,109,150,94,68,55,1
56,65,75,98,143,97,66,48,1
63,69,75,104,144,96,68,52,1
77,67,75,113,144,94,65,50,1
61,60,90,107,139,89,66,49,1
74,64,89,109,139,96,68,46,1
72,62,88,114,145,93,68,50,1
52,60,97,120,147,98,72,55,1
55,67,92,121,150,97,71,56,1
67,68,92,118,151,96,72,56,1
57,69,79,101,146,97,70,57,1
61,60,79,87,143,85,60,55,1
51,62,78,92,144,104,62,56,1
57,64,78,92,143,95,63,56,1
52,61,77,103,143,99,60,54,1
54,62,84,103,142,97,62,52,1
50,63,89,137,155,95,58,46,1
46,64,84,127,152,96,52,42,1
44,62,91,129,155,93,60,46,1
48,66,86,134,146,97,57,53,1
64,67,97,140,151,97,65,55,1
57,63,86,134,147,96,64,52,1
54,57,74,133,156,96,59,58,1
52,48,81,151,156,75,63,55,1
50,48,71,142,162,74,53,58,1
52,9,75,144,161,70,53,51,1
55,44,82,148,157,71,56,52,1
55,12,74,141,163,71,51,53,1
49,9,76,139,160,68,45,44,1
40,43,76,139,168,85,45,45,1
36,49,77,139,163,88,53,52,1
46,52,80,140,170,88,46,48,1
40,52,85,141,172,87,56,56,1
51,58,85,143,171,86,54,54,1
52,56,87,148,172,87,57,58,1
54,56,87,149,171,89,57,58,1
54,57,87,153,170,95,57,51,1
46,56,86,153,176,100,45,57,1
38,51,86,148,169,97,56,53,1
47,56,84,154,171,98,53,50,1
47,57,86,161,168,91,48,40,1
40,53,80,143,170,81,49,46,1
43,55,84,169,170,85,56,54,1
49,57,86,164,167,97,55,53,1
49,56,83,168,174,98,57,54,1
50,56,85,165,174,98,58,56,1
48,58,88,165,170,99,57,56,1
49,57,87,173,171,98,60,58,1
51,52,89,167,163,96,56,51,1
53,57,84,159,175,95,60,56,1
46,55,87,167,171,98,57,51,1
47,57,88,164,176,98,54,53,1
42,49,89,165,173,95,55,48,1
33,51,84,172,173,93,48,52,1
45,57,85,167,174,96,54,54,1
73,29,80,71,47,80,34,50,1
71,33,85,72,48,82,35,48,1
76,36,85,76,49,84,34,51,1
69,28,77,72,44,80,26,51,1
58,28,75,97,64,76,0,43,1
48,24,69,126,114,67,0,0,1
50,28,77,111,105,78,0,0,1
55,29,81,92,116,84,34,49,1
66,28,84,75,102,81,4,11,1
59,31,87,101,115,82,0,50,1
55,24,84,160,157,82,3,0,1
62,30,86,153,151,81,0,46,1
57,27,81,150,148,79,0,35,1
53,28,89,149,145,82,0,51,1
63,32,86,151,148,84,0,52,1
69,33,87,131,144,84,4,53,1
61,35,79,118,97,85,0,51,1
67,30,90,120,103,85,0,48,1
62,22,80,104,104,79,0,47,1
40,30,88,101,91,84,0,38,1
64,26,89,109,109,85,2,50,1
63,34,88,113,112,85,2,52,1
65,36,89,106,111,87,5,54,1
56,32,88,111,95,76,0,51,1
43,31,89,103,107,80,0,41,1
41,26,84,94,70,75,0,37,1
48,32,87,93,77,78,6,53,1
60,35,86,98,76,82,1,50,1
59,35,87,97,76,83,2,52,1
63,35,89,100,75,83,0,55,1
60,36,91,100,78,83,0,49,1
49,38,84,81,60,74,0,45,1
33,32,83,65,60,73,0,25,1
49,41,90,73,68,71,0,46,1
51,43,93,88,101,74,1,55,1
53,35,95,119,139,80,4,54,1
40,36,82,147,146,83,0,45,1
46,32,89,126,144,80,0,46,1
39,24,88,107,93,79,0,34,1
60,29,88,105,95,83,14,53,1
52,33,90,102,144,97,37,38,1
73,32,91,95,143,99,45,46,1
51,29,90,103,128,82,18,46,1
67,32,90,98,70,79,17,32,1
51,29,82,91,60,80,15,43,1
74,44,94,92,59,80,29,48,1
71,43,93,105,109,83,28,48,1
73,35,91,104,103,89,3,51,1
55,44,91,107,98,75,2,47,1
68,47,91,102,76,81,0,42,1
45,32,84,102,103,83,0,29,1
57,44,86,102,115,79,2,41,1
63,47,88,82,68,73,1,48,1
64,47,90,83,60,76,3,50,1
66,34,90,105,111,72,0,39,1
63,33,88,177,159,70,0,0,1
53,27,88,168,150,72,0,36,1
66,36,91,175,156,75,3,47,1
66,34,93,178,157,78,2,47,1
71,35,91,171,156,77,1,44,1
68,95,226,118,117,60,59,47,2
71,92,234,120,114,61,58,49,2
77,94,235,116,118,63,60,48,2
82,98,238,123,120,64,67,54,2
81,97,239,122,119,65,67,55,2
85,97,240,122,120,66,67,53,2
75,95,239,119,100,61,68,49,2
78,96,238,124,97,64,62,52,2
77,94,237,119,89,62,63,50,2
69,94,232,116,89,42,52,47,2
87,101,222,105,69,47,56,52,2
90,102,224,107,77,50,59,54,2
90,102,222,88,77,49,61,54,2
102,102,237,104,78,62,62,56,2
91,102,237,104,87,60,62,52,2
92,108,238,99,90,62,67,58,2
90,109,220,98,94,61,67,52,2
81,104,211,96,92,61,64,40,2
82,105,218,88,95,60,55,54,2
90,113,219,109,97,63,73,54,2
88,112,220,109,99,64,75,57,2
86,101,223,110,98,65,76,57,2
78,99,237,106,96,62,70,49,2
90,97,238,107,98,62,69,53,2
82,95,253,120,129,59,63,49,2
71,92,237,119,124,60,65,55,2
76,96,242,124,127,63,74,57,2
83,101,255,119,127,62,69,56,2
86,100,226,116,95,52,62,56,2
92,107,230,104,79,47,61,53,2
84,105,234,116,92,54,70,58,2
86,106,223,108,89,63,67,49,2
73,97,223,101,84,59,55,44,2
86,102,222,100,88,63,68,45,2
84,110,221,102,89,64,71,57,2
82,111,219,103,79,64,73,56,2
87,121,219,101,79,65,73,58,2
79,104,220,102,78,69,64,47,2
76,105,222,122,91,62,68,52,2
69,90,233,121,120,62,63,44,2
84,96,238,129,131,57,72,53,2
86,102,239,132,124,64,69,54,2
85,102,241,122,129,63,71,56,2
85,92,241,119,133,63,79,57,2
83,105,237,118,123,61,69,54,2
83,116,222,106,100,55,65,48,2
88,109,220,97,87,62,75,49,2
86,111,224,114,96,64,72,55,2
87,101,258,128,122,64,72,55,2
83,96,258,128,125,66,74,48,2
85,96,241,133,129,63,70,53,2
77,97,256,121,130,59,68,53,2
88,97,258,121,131,65,73,55,2
87,97,258,122,124,64,73,54,2
85,97,242,111,121,61,73,53,2
79,96,222,113,121,78,72,49,2
82,95,221,126,100,62,62,49,2
70,88,224,113,99,65,74,55,2
85,107,226,111,86,60,69,55,2
88,106,224,111,77,53,71,55,2
107,147,255,66,1,74,67,52,2
101,132,264,61,1,66,33,47,2
100,145,254,57,0,62,39,43,2
92,129,248,58,0,59,36,35,2
97,135,254,59,0,57,34,45,2
97,155,255,58,1,61,28,49,2
93,159,255,59,2,60,27,52,2
100,166,261,57,2,62,25,50,2
82,125,268,54,4,59,32,41,2
87,130,270,48,33,61,40,47,2
92,149,212,20,0,63,19,41,2
94,158,196,14,0,56,43,47,2
91,156,191,55,4,64,41,50,2
94,132,241,50,0,59,36,48,2
93,134,267,50,33,60,39,51,2
95,139,285,47,0,55,32,45,2
103,157,275,41,1,61,33,47,2
87,156,253,44,0,58,36,32,2
77,125,227,36,0,56,62,40,2
77,126,175,53,36,56,67,52,2
91,134,204,48,2,60,63,48,2
96,134,202,48,1,60,64,52,2
95,132,211,47,0,62,75,47,2
87,131,278,46,3,59,61,47,2
103,159,233,37,0,58,52,33,2
100,150,232,10,0,51,56,40,2
94,141,239,44,1,57,60,51,2
89,137,247,45,2,59,62,50,2
109,151,247,44,1,59,64,53,2
109,167,240,19,1,58,59,47,2
106,147,246,42,1,59,57,47,2
92,137,228,44,0,57,57,43,2
82,144,241,40,0,55,47,48,2
100,163,245,37,0,59,56,48,2
92,147,249,45,0,57,58,50,2
78,135,199,44,33,63,59,52,2
83,137,182,45,33,72,63,53,2
80,144,252,36,2,69,50,47,2
83,144,245,40,0,69,55,48,2
77,125,195,41,29,60,49,25,2
72,124,188,35,33,62,49,35,2
72,137,263,41,38,67,59,49,2
83,146,263,39,1,67,55,50,2
97,149,256,61,0,68,61,52,2
93,140,263,70,3,70,65,55,2
81,135,206,73,32,73,53,42,2
74,130,264,69,30,69,22,45,2
74,134,264,69,0,64,10,34,2
53,129,267,68,33,66,51,46,2
78,127,229,70,34,77,63,50,2
81,135,240,70,45,76,65,52,2
84,138,236,66,3,76,60,47,2
107,139,240,14,2,67,60,44,2
102,137,231,14,0,69,49,27,2
85,132,229,13,0,69,52,42,2
90,129,235,67,1,69,60,50,2
86,138,236,65,0,69,60,53,2
100,141,234,65,0,67,58,48,2
105,144,233,16,0,70,61,45,2
86,143,230,54,2,68,47,36,2
76,3,59,50,142,94,110,53,3
67,2,61,48,141,87,96,50,3
60,0,56,40,141,88,90,32,3
53,0,57,41,139,94,84,52,3
65,2,59,41,140,95,88,53,3
75,2,59,41,136,95,86,41,3
77,4,60,51,127,90,86,57,3
69,0,58,38,131,91,80,52,3
66,0,59,46,133,95,84,53,3
75,3,60,44,134,95,84,53,3
77,1,60,40,135,97,80,56,3
73,0,55,50,128,90,89,57,3
72,0,59,50,136,94,86,50,3
64,0,56,46,133,93,82,45,3
69,0,62,54,137,95,89,55,3
74,2,60,34,134,98,83,53,3
77,3,60,35,117,100,86,47,3
60,1,59,33,100,96,114,53,3
55,1,57,28,50,89,81,49,3
74,25,61,30,58,95,52,53,3
69,23,60,26,62,91,83,56,3
68,26,62,31,71,92,66,50,3
66,14,72,42,138,86,90,56,3
69,43,78,52,142,85,51,43,3
78,43,71,44,140,94,67,56,3
78,44,75,52,153,94,63,55,3
71,49,74,56,153,89,52,54,3
71,56,76,68,158,91,54,48,3
66,51,79,70,155,86,57,52,3
81,52,79,73,161,95,58,53,3
79,57,80,54,164,97,59,55,3
75,40,78,53,160,86,57,56,3
68,51,76,71,164,90,55,54,3
74,40,80,68,164,85,51,44,3
68,38,78,72,167,89,59,49,3
75,53,81,73,165,89,59,54,3
77,63,92,73,163,90,62,53,3
74,65,94,55,147,92,58,43,3
65,65,83,55,145,89,61,51,3
70,62,79,56,140,91,64,43,3
72,65,79,47,127,86,55,46,3
79,57,90,44,119,91,60,51,3
81,63,91,53,119,90,79,53,3
80,63,92,54,141,90,68,55,3
84,65,93,62,158,88,69,64,3
79,58,95,76,171,90,64,51,3
81,67,91,83,172,88,60,51,3
73,53,88,82,170,84,55,46,3
72,60,93,79,175,80,59,49,3
82,61,92,79,166,92,67,54,3
77,54,91,79,166,91,54,56,3
75,52,93,82,173,90,53,57,3
71,37,92,81,170,87,46,54,3
66,59,92,71,172,84,52,58,3
64,37,91,63,160,89,71,52,3
64,37,95,64,153,86,50,49,3
55,35,93,61,162,96,71,48,3
66,38,103,65,162,98,79,57,3
70,37,94,64,156,97,93,54,3
82,41,95,64,152,99,78,56,3
87,3,62,11,45,116,153,95,3
67,1,60,10,0,112,174,90,3
64,0,59,10,0,111,174,77,3
79,3,54,11,2,120,175,80,3
67,2,47,11,45,116,169,72,3
83,0,44,11,0,85,171,81,3
84,55,64,11,1,92,166,69,3
81,62,64,18,1,93,144,55,3
74,57,71,16,40,132,148,62,3
72,60,72,18,45,126,154,72,3
78,65,68,17,1,122,159,72,3
83,63,53,16,3,127,155,78,3
74,61,58,16,38,132,148,65,3
70,57,60,18,51,131,136,61,3
67,51,59,51,44,134,126,41,3
62,52,55,20,53,132,144,67,3
76,61,60,12,51,131,152,66,3
77,61,59,10,1,125,155,69,3
80,64,61,10,1,129,142,63,3
82,58,48,14,72,138,138,72,3
70,60,52,63,77,135,130,64,3
69,51,56,18,61,124,133,56,3
66,57,57,23,0,127,149,55,3
72,64,61,15,1,125,154,69,3
83,64,58,23,31,126,154,69,3
84,64,58,19,53,131,137,69,3
89,65,52,19,72,134,148,71,3
82,63,62,20,31,133,149,69,3
81,62,63,16,1,130,149,65,3
85,59,60,18,0,126,148,63,3
52,55,43,11,38,118,130,51,3
66,56,58,11,49,123,151,60,3
68,61,63,72,72,131,79,69,3
84,64,59,70,85,137,97,67,3
85,63,60,20,87,136,128,67,3
85,64,58,16,52,134,150,72,3
87,64,61,19,55,138,137,53,3
83,65,57,18,56,126,132,69,3
75,63,63,21,43,122,112,54,3
60,58,61,15,46,127,130,62,3
69,60,59,14,49,135,142,72,3
68,54,64,19,51,137,147,67,3
81,64,62,18,50,137,141,68,3
85,65,63,69,86,139,110,72,3
88,68,63,73,87,136,123,72,3
75,57,63,16,53,135,146,67,3
82,63,60,16,42,130,141,59,3
62,45,60,14,38,119,127,53,3
74,53,60,18,49,120,143,63,3
81,56,60,11,46,124,144,69,3
81,64,63,17,49,126,145,67,3
82,67,65,18,50,128,153,70,3
87,65,62,17,52,130,159,70,3
79,59,63,15,56,131,147,51,3
80,64,63,16,60,131,153,66,3
83,61,62,17,56,135,120,62,3
65,55,65,65,50,125,87,47,3
67,61,60,66,90,127,90,70,3
85,67,70,44,79,119,102,67,3
82,65,70,58,77,126,129,67,3
57,1,158,143,190,91,55,67,4
68,2,143,142,189,92,53,59,4
66,2,157,145,189,86,51,56,4
49,1,152,141,186,91,47,55,4
51,0,147,139,190,82,50,52,4
41,0,139,141,189,88,65,66,4
51,0,150,146,178,92,60,65,4
51,0,150,140,179,92,61,63,4
48,2,150,140,179,93,61,66,4
39,0,151,142,178,90,66,70,4
49,2,151,143,177,93,100,65,4
45,0,151,139,175,86,102,55,4
45,0,161,140,177,84,106,52,4
39,0,160,136,193,92,83,61,4
40,2,153,132,192,94,51,59,4
61,2,154,137,192,96,55,60,4
39,3,153,140,197,92,54,50,4
27,0,158,139,193,92,51,56,4
27,0,152,138,189,87,40,49,4
53,3,152,139,192,94,53,61,4
47,2,155,139,193,94,53,59,4
45,0,152,140,194,85,44,59,4
47,0,156,136,192,92,52,54,4
23,0,154,133,189,87,46,46,4
0,19,154,135,189,90,54,61,4
2,48,159,143,192,94,59,58,4
52,26,157,145,192,93,54,59,4
0,0,166,143,189,93,59,62,4
48,0,164,142,188,89,53,63,4
33,0,152,140,192,97,54,57,4
43,2,158,139,194,95,54,60,4
52,1,156,141,197,95,51,59,4
52,1,156,142,197,97,48,53,4
52,0,155,142,197,91,46,50,4
34,0,151,144,197,95,49,56,4
59,3,147,141,198,94,56,61,4
57,1,161,141,197,95,57,63,4
8,1,147,139,197,94,51,56,4
58,1,147,135,196,93,52,57,4
52,0,144,130,193,92,53,47,4
45,0,146,136,195,95,51,54,4
2,0,152,136,198,95,57,61,4
4,2,152,140,197,95,55,62,4
0,0,150,138,198,92,55,63,4
1,0,151,139,199,94,53,57,4
1,0,153,141,196,94,53,64,4
50,1,153,147,200,96,54,60,4
54,2,157,148,199,95,56,63,4
46,1,160,147,197,95,53,60,4
0,0,152,142,196,94,46,52,4
1,2,149,143,199,89,54,64,4
2,1,151,144,200,96,55,64,4
4,2,152,144,199,96,56,64,4
44,6,157,145,195,92,60,53,4
1,0,156,142,198,94,50,55,4
0,0,158,144,196,90,48,55,4
2,2,157,144,199,95,52,57,4
2,1,152,146,199,95,53,57,4
3,0,153,149,195,91,52,47,4
0,0,157,149,179,92,50,53,4
65,81,192,75,51,54,44,61,4
57,59,218,90,47,49,12,55,4
52,91,248,69,0,49,0,58,4
67,86,281,76,0,46,17,52,4
69,94,279,91,33,54,21,67,4
70,93,274,74,1,47,1,50,4
72,94,278,73,0,51,2,49,4
75,107,279,70,0,50,0,48,4
71,113,276,74,1,52,0,48,4
67,103,264,78,0,52,0,43,4
66,106,268,69,0,49,0,41,4
65,95,279,77,2,51,0,41,4
72,100,273,78,1,54,13,52,4
75,102,276,77,2,63,16,53,4
75,104,282,80,2,65,44,70,4
71,99,278,76,1,64,42,61,4
71,98,279,77,1,63,40,65,4
70,101,280,78,0,62,42,47,4
63,91,275,72,0,60,36,58,4
65,113,270,74,0,63,39,57,4
73,122,276,70,0,54,14,47,4
73,121,275,73,1,54,15,50,4
75,121,276,74,1,49,2,52,4
73,121,288,74,0,45,0,49,4
60,115,275,49,1,63,51,61,4
69,120,277,48,1,60,49,55,4
62,118,264,63,0,50,0,41,4
65,102,266,67,2,49,0,41,4
73,69,266,90,43,32,18,40,4
74,92,266,95,66,60,15,47,4
77,122,262,72,1,59,4,49,4
76,99,257,79,0,48,3,35,4
64,92,257,80,1,49,0,33,4
71,96,257,76,36,57,0,30,4
57,93,264,92,57,56,0,24,4
60,93,257,93,59,61,0,35,4
66,97,262,81,39,60,2,44,4
73,99,265,78,44,64,37,50,4
77,100,275,78,43,62,39,51,4
71,100,260,81,0,49,7,39,4
71,98,262,79,39,59,14,38,4
62,76,276,76,38,57,5,34,4
57,80,266,106,55,44,47,55,4
69,88,244,114,68,49,52,70,4
75,89,241,106,77,49,54,68,4
75,91,245,109,88,49,52,69,4
59,87,239,102,82,47,53,65,4
68,89,234,104,96,63,51,65,4
68,85,236,100,92,56,40,51,4
60,84,237,101,97,61,50,57,4
72,90,236,105,95,62,52,66,4
77,89,237,104,96,62,53,68,4
77,91,240,104,96,63,54,70,4
62,92,245,102,95,62,51,65,4
70,87,243,101,95,47,48,63,4
54,76,240,100,92,48,38,55,4
64,87,242,105,94,50,51,67,4
76,88,244,101,91,48,52,68,4
73,90,245,103,85,48,52,68,4
77,91,246,104,96,64,52,58,4
85,4,107,131,172,93,35,0,5
88,1,107,140,174,83,36,0,5
76,1,103,139,171,85,30,0,5
74,0,101,141,171,83,36,1,5
89,3,109,140,173,88,38,1,5
93,3,107,139,175,89,39,1,5
102,39,112,134,156,89,49,7,5
168,60,111,114,132,87,40,40,5
169,64,99,110,129,88,42,44,5
173,57,122,124,163,96,42,45,5
77,2,109,139,167,87,21,1,5
70,0,106,142,162,86,17,0,5
71,0,109,139,166,85,14,0,5
59,0,109,139,165,87,10,0,5
65,1,101,132,167,104,40,0,5
35,1,135,145,171,94,1,0,5
115,0,142,147,171,94,0,39,5
74,38,138,127,169,89,28,0,5
22,52,141,141,167,94,28,0,5
56,58,142,137,170,89,28,0,5
36,58,144,139,169,95,33,1,5
77,59,146,121,154,88,30,0,5
74,60,141,118,159,99,25,0,5
56,18,141,128,163,83,30,0,5
84,68,182,141,162,91,8,4,5
85,61,184,138,158,88,9,1,5
84,61,185,139,159,90,16,1,5
97,61,150,117,147,101,32,0,5
103,60,150,102,149,83,79,0,5
131,58,129,98,122,91,79,0,5
130,68,139,110,147,88,79,1,5
143,74,149,119,147,88,71,0,5
142,79,177,113,148,84,70,0,5
89,65,210,148,162,72,12,0,5
74,58,202,152,163,65,0,0,5
56,53,181,150,161,72,12,0,5
75,63,225,158,153,65,3,1,5
74,62,229,156,148,63,1,1,5
134,75,196,140,152,62,12,0,5
85,56,155,121,160,76,19,0,5
73,51,168,121,161,70,15,0,5
140,59,187,132,158,77,15,0,5
138,63,178,145,168,97,18,1,5
107,63,177,133,169,85,15,1,5
102,63,168,132,164,97,19,0,5
148,76,151,123,168,85,39,0,5
142,75,149,138,164,85,45,0,5
142,73,159,132,168,86,47,0,5
158,79,181,138,168,87,49,0,5
154,76,148,134,168,93,51,1,5
105,62,138,123,169,76,23,0,5
144,63,121,129,170,94,19,0,5
162,71,183,140,161,91,20,0,5
167,82,193,139,152,63,20,1,5
171,83,169,141,163,65,20,1,5
91,65,202,152,167,58,0,1,5
62,8,164,163,167,65,11,0,5
58,9,164,156,165,60,0,0,5
79,56,207,154,168,60,10,0,5
79,58,203,152,168,82,15,0,5
148,68,141,63,94,130,56,34,5
152,83,191,70,88,111,50,4,5
141,60,109,62,89,184,57,18,5
145,64,113,66,91,188,58,33,5
147,70,111,69,95,191,62,29,5
149,65,113,70,96,190,63,29,5
154,63,111,69,95,192,61,27,5
127,62,108,66,95,196,53,28,5
136,62,61,57,92,206,82,13,5
99,54,56,65,130,202,73,0,5
70,60,60,70,116,229,77,13,5
107,0,41,28,95,232,87,14,5
106,1,50,66,95,251,88,11,5
76,2,49,67,94,254,91,16,5
74,1,42,62,87,254,75,5,5
87,32,53,68,91,237,85,13,5
93,24,57,63,85,230,66,32,5
127,16,84,62,100,157,45,26,5
152,61,152,73,99,115,52,10,5
153,55,119,67,100,165,57,13,5
148,49,110,48,78,172,59,41,5
153,47,111,49,96,168,61,44,5
109,50,91,60,83,214,57,39,5
99,50,85,51,80,214,58,41,5
100,46,81,26,79,200,61,41,5
143,43,79,75,81,197,58,39,5
139,37,94,68,78,173,46,28,5
135,39,79,72,77,211,57,45,5
134,40,83,68,85,205,53,45,5
137,46,85,71,80,218,61,39,5
139,46,83,72,81,217,62,43,5
140,47,83,73,81,205,63,41,5
147,48,83,73,81,221,63,40,5
131,45,85,70,76,217,57,37,5
142,40,74,73,72,222,57,37,5
136,45,82,71,82,208,58,36,5
131,42,81,72,82,214,57,36,5
123,47,78,75,77,212,47,21,5
120,40,78,69,78,210,50,28,5
121,33,79,69,80,211,49,27,5
122,47,84,70,86,200,63,41,5
135,47,84,72,82,201,61,41,5
133,47,81,73,84,202,63,40,5
136,47,81,72,86,202,62,42,5
135,48,81,72,86,203,64,47,5
130,47,82,73,84,207,64,44,5
132,49,82,71,82,200,63,39,5
132,47,81,73,83,200,55,40,5
125,42,78,71,80,194,51,30,5
119,46,83,68,80,197,56,29,5
144,45,82,76,84,202,58,42,5
139,49,84,72,84,201,62,40,5
136,49,83,72,83,202,61,46,5
143,47,85,74,85,202,66,49,5
138,48,83,73,83,199,67,49,5
140,42,78,73,85,199,59,46,5
142,45,91,72,86,199,62,42,5
139,45,86,70,86,195,44,32,5
129,40,85,69,83,198,51,33,5
133,41,89,72,79,176,54,39,5
